Year,United States,,Russia,,United Kingdom,,France,
,atmospheric,underground,atmospheric,underground,atmospheric,underground,atmospheric,underground
1945,1,0,0,0,0,0,0,0
1946,2,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0,0
1948,3,0,0,0,0,0,0,0
1949,0,0,1,0,0,0,0,0
1950,0,0,0,0,0,0,0,0
1951,15,1,2,0,0,0,0,0
1952,10,0,0,0,1,0,0,0
1953,11,0,5,0,2,0,0,0
1954,6,0,10,0,0,0,0,0
1955,17,1,6,0,0,0,0,0
1956,18,0,9,0,6,0,0,0
1957,27,5,16,0,7,0,0,0
1958,62,15,34,0,5,0,0,0
1959,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,3,0
1961,0,10,58,1,0,0,1,1
1962,39,57,78,1,0,2,0,1
1963,4,43,0,0,0,0,0,3
1964,0,45,0,9,0,2,0,3
1965,0,38,0,14,0,1,0,4
1966,0,48,0,18,0,0,6,1
1967,0,42,0,17,0,0,3,0
1968,0,56,0,17,0,0,5,0
1969,0,46,0,19,0,0,0,0
1970,0,39,0,16,0,0,8,0
1971,0,24,0,23,0,0,5,0
1972,0,27,0,24,0,0,4,0
1973,0,24,0,17,0,0,6,0
1974,0,22,0,21,0,1,9,0
1975,0,22,0,19,0,0,0,2
1976,0,20,0,21,0,1,0,5
1977,0,20,0,24,0,0,0,9
1978,0,19,0,31,0,2,0,11
1979,0,15,0,31,0,1,0,10
1980,0,14,0,24,0,3,0,12
1981,0,16,0,21,0,1,0,12
1982,0,18,0,19,0,1,0,10
1983,0,18,0,25,0,1,0,9
1984,0,18,0,27,0,2,0,8
1985,0,17,0,10,0,1,0,8
1986,0,14,0,0,0,1,0,8
1987,0,14,0,23,0,1,0,8
1988,0,15,0,16,0,0,0,8
1989,0,11,0,7,0,1,0,9
1990,0,8,0,1,0,1,0,6
1991,0,7,0,0,0,1,0,6
1992,0,6,0,0,0,0,0,0
1993,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,5
1996,0,0,0,0,0,0,0,1
1997,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,0,0,0
1999,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0
2007,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0
2017,0,0,0,0,0,0,0,0